Age,AgeGroup,Attrition,AttritionBinary,Department,EducationField,Gender,JobRole,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,DistanceFromHome
34,26-35,Yes,1,Research & Development,Medical,Male,Research Scientist,1,1,Single,2960,2,No,3,8,3,4,2,1,3,2,6
53,46-55,No,0,Research & Development,Other,Female,Manager,5,3,Divorced,19094,4,No,3,26,2,14,13,4,8,3,5
32,26-35,Yes,1,Research & Development,Life Sciences,Female,Research Scientist,1,1,Single,3919,1,Yes,4,10,3,10,2,6,7,2,16
42,36-45,No,0,Sales,Marketing,Male,Sales Executive,2,2,Married,6825,0,No,3,10,3,9,7,4,2,3,8
44,36-45,No,0,Research & Development,Medical,Female,Healthcare Representative,3,4,Married,10248,3,No,3,24,3,22,6,5,17,1,7
46,46-55,No,0,Sales,Marketing,Female,Manager,5,1,Single,18947,3,No,3,22,2,2,2,2,1,2,2
33,26-35,No,0,Research & Development,Medical,Male,Laboratory Technician,1,4,Single,2496,4,No,3,7,3,1,1,0,0,3,2
44,36-45,No,0,Research & Development,Other,Male,Healthcare Representative,2,4,Married,6465,2,Yes,3,9,4,4,2,1,3,4,10
30,26-35,No,0,Research & Development,Medical,Male,Laboratory Technician,1,3,Single,2206,1,No,3,10,3,10,0,1,8,4,9
39,36-45,Yes,1,Sales,Technical Degree,Male,Sales Representative,2,4,Married,2086,3,No,3,19,4,1,0,0,0,4,5
24,18-25,Yes,1,Research & Development,Medical,Male,Research Scientist,1,4,Married,2293,2,Yes,3,6,2,2,0,2,0,2,1
43,36-45,No,0,Research & Development,Medical,Female,Research Scientist,1,3,Divorced,2645,1,No,3,6,2,5,3,1,4,4,2
50,46-55,Yes,1,Sales,Marketing,Male,Sales Representative,1,3,Married,2683,1,Yes,3,3,3,3,2,0,2,1,3
35,26-35,No,0,Sales,Marketing,Female,Sales Representative,1,4,Married,2014,1,No,3,2,3,2,2,2,2,4,2
36,36-45,No,0,Research & Development,Life Sciences,Female,Research Scientist,1,1,Married,3419,9,Yes,3,6,4,1,1,0,0,2,5
33,26-35,No,0,Sales,Life Sciences,Female,Sales Executive,2,1,Married,5376,2,No,3,10,3,5,3,1,3,3,1
35,26-35,No,0,Research & Development,Other,Male,Laboratory Technician,1,4,Divorced,1951,1,No,3,1,3,1,0,0,0,3,4
27,26-35,No,0,Research & Development,Life Sciences,Female,Laboratory Technician,1,1,Divorced,2341,1,No,3,1,3,1,0,0,0,4,2
26,26-35,Yes,1,Research & Development,Life Sciences,Male,Laboratory Technician,1,3,Single,2293,1,No,3,1,2,1,0,0,1,1,25
27,26-35,No,0,Sales,Life Sciences,Male,Sales Executive,3,3,Single,8726,1,No,3,9,3,9,8,1,7,4,8
30,26-35,No,0,Research & Development,Medical,Female,Laboratory Technician,2,4,Single,4011,1,No,4,12,3,12,8,3,7,3,1
41,36-45,Yes,1,Research & Development,Technical Degree,Female,Research Director,5,3,Married,19545,1,No,3,23,3,22,15,15,8,2,12
34,26-35,No,0,Sales,Marketing,Male,Sales Executive,2,3,Single,4568,0,No,4,10,3,9,5,8,7,2,23
37,36-45,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,2,Married,3022,4,No,4,8,3,1,0,0,0,2,19
46,46-55,No,0,Sales,Marketing,Male,Sales Executive,2,4,Single,5772,4,Yes,4,14,3,9,6,0,8,1,5
35,26-35,No,0,Research & Development,Life Sciences,Male,Laboratory Technician,1,4,Married,2269,1,No,3,1,3,1,0,0,1,4,8
48,46-55,Yes,1,Research & Development,Life Sciences,Male,Laboratory Technician,3,3,Single,5381,9,Yes,3,23,3,1,0,0,0,1,1
28,26-35,Yes,1,Research & Development,Technical Degree,Male,Laboratory Technician,1,3,Single,3441,1,Yes,3,2,2,2,2,2,2,3,5
44,36-45,No,0,Sales,Marketing,Female,Sales Executive,2,1,Divorced,5454,5,Yes,4,9,2,4,3,1,3,2,1
35,26-35,No,0,Research & Development,Medical,Male,Healthcare Representative,3,1,Married,9884,2,Yes,3,10,3,4,0,2,3,3,11
26,26-35,No,0,Sales,Marketing,Female,Sales Executive,2,4,Married,4157,7,Yes,3,5,2,2,2,0,0,3,23
33,26-35,No,0,Research & Development,Life Sciences,Female,Research Director,3,4,Single,13458,1,Yes,3,15,3,15,14,8,12,1,1
35,26-35,No,0,Sales,Life Sciences,Male,Sales Executive,3,1,Married,9069,1,No,4,9,2,9,8,1,8,2,18
35,26-35,No,0,Research & Development,Medical,Female,Laboratory Technician,1,1,Married,4014,3,Yes,3,4,3,2,2,2,2,3,23
31,26-35,No,0,Research & Development,Life Sciences,Male,Laboratory Technician,2,4,Divorced,5915,3,No,4,10,2,7,7,1,7,4,7
37,36-45,No,0,Research & Development,Life Sciences,Male,Manufacturing Director,2,3,Divorced,5993,1,No,3,7,4,7,5,0,7,1,1
32,26-35,No,0,Research & Development,Medical,Male,Manufacturing Director,2,4,Married,6162,1,Yes,4,9,3,9,8,7,8,1,1
38,36-45,No,0,Research & Development,Life Sciences,Female,Laboratory Technician,2,4,Single,2406,1,No,3,10,3,10,3,9,9,4,29
50,46-55,No,0,Research & Development,Medical,Female,Research Director,5,3,Divorced,18740,5,Yes,3,29,2,27,3,13,8,2,7
59,56-65,No,0,Sales,Life Sciences,Female,Sales Executive,3,1,Single,7637,7,No,3,28,2,21,16,7,9,1,25
36,36-45,No,0,Research & Development,Technical Degree,Female,Healthcare Representative,3,3,Divorced,10096,1,No,3,17,3,17,14,12,8,3,8
55,46-55,No,0,Research & Development,Medical,Female,Manager,4,3,Divorced,14756,2,Yes,3,21,3,5,0,0,2,4,8
36,36-45,No,0,Research & Development,Life Sciences,Male,Manufacturing Director,2,2,Single,6499,1,No,3,6,3,6,5,0,3,2,11
45,36-45,No,0,Research & Development,Life Sciences,Male,Research Scientist,3,1,Divorced,9724,2,No,3,25,3,1,0,0,0,2,7
35,26-35,No,0,Research & Development,Medical,Male,Research Scientist,1,1,Married,2194,4,No,3,5,2,3,2,1,2,2,1
36,36-45,Yes,1,Research & Development,Medical,Male,Research Scientist,1,3,Married,3388,0,Yes,3,2,2,1,0,0,0,4,9
59,56-65,No,0,Sales,Life Sciences,Female,Sales Executive,2,3,Single,5473,7,No,3,20,2,4,3,1,3,1,1
29,26-35,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,2,Married,2703,0,No,4,6,3,5,4,0,4,3,2
31,26-35,No,0,Research & Development,Medical,Male,Research Scientist,1,2,Single,2501,1,No,3,1,3,1,1,1,0,3,1
32,26-35,No,0,Research & Development,Life Sciences,Male,Research Scientist,2,2,Married,6220,1,No,3,10,3,10,4,0,9,2,1
36,36-45,No,0,Research & Development,Life Sciences,Female,Laboratory Technician,1,4,Married,3038,3,No,3,5,3,1,0,0,0,2,6
31,26-35,No,0,Research & Development,Life Sciences,Female,Manufacturing Director,2,4,Single,4424,1,No,4,11,3,11,7,1,8,3,8
35,26-35,No,0,Sales,Marketing,Male,Sales Executive,2,1,Single,4312,0,No,3,16,3,15,13,2,8,3,1
45,36-45,No,0,Research & Development,Other,Male,Research Director,3,1,Married,13245,4,Yes,3,17,4,0,0,0,0,4,6
37,36-45,No,0,Research & Development,Medical,Male,Research Director,3,3,Single,13664,4,No,3,16,4,5,2,0,2,1,7
46,46-55,No,0,Human Resources,Medical,Male,Human Resources,2,2,Divorced,5021,8,Yes,4,16,3,4,2,0,2,2,5
30,26-35,No,0,Research & Development,Life Sciences,Male,Laboratory Technician,2,4,Married,5126,1,Yes,3,10,2,10,8,3,0,4,1
35,26-35,No,0,Research & Development,Medical,Male,Research Scientist,1,3,Single,2859,1,No,3,6,3,6,4,0,4,2,1
55,46-55,No,0,Sales,Life Sciences,Male,Sales Executive,3,4,Married,10239,3,No,3,24,3,1,0,1,0,1,1
38,36-45,No,0,Research & Development,Medical,Female,Research Scientist,2,4,Divorced,5329,7,Yes,3,17,3,13,11,1,9,2,6
34,26-35,No,0,Research & Development,Medical,Male,Manufacturing Director,2,2,Married,4325,1,No,3,5,3,5,2,1,3,1,1
56,56-65,No,0,Research & Development,Life Sciences,Male,Manufacturing Director,3,4,Single,7260,4,No,3,37,2,6,4,0,2,4,7
23,18-25,No,0,Sales,Technical Degree,Male,Sales Representative,1,1,Divorced,2322,3,No,3,3,3,0,0,0,0,3,2
51,46-55,No,0,Research & Development,Life Sciences,Male,Laboratory Technician,1,4,Married,2075,3,No,4,10,3,4,2,0,3,4,9
30,26-35,No,0,Research & Development,Life Sciences,Male,Healthcare Representative,2,4,Married,4152,1,No,3,11,3,11,10,10,8,3,2
46,46-55,Yes,1,Sales,Medical,Male,Sales Executive,3,4,Single,9619,1,No,3,9,3,9,8,4,7,3,9
40,36-45,No,0,Research & Development,Life Sciences,Male,Healthcare Representative,4,2,Married,13503,1,No,4,22,2,22,3,11,11,3,1
51,46-55,No,0,Sales,Marketing,Male,Sales Executive,2,4,Single,5441,0,Yes,4,11,1,10,7,1,0,3,21
30,26-35,No,0,Sales,Medical,Female,Sales Executive,2,2,Divorced,5209,1,Yes,3,11,2,11,8,2,7,3,4
46,46-55,No,0,Research & Development,Medical,Male,Healthcare Representative,3,1,Married,10673,2,Yes,3,21,2,10,9,9,5,3,1
32,26-35,No,0,Sales,Medical,Male,Sales Executive,2,3,Single,5010,1,No,3,12,3,11,8,5,7,2,6
54,46-55,No,0,Research & Development,Technical Degree,Female,Research Director,3,3,Married,13549,9,No,3,16,1,4,3,0,3,1,2
24,18-25,No,0,Sales,Other,Female,Sales Executive,2,3,Married,4999,0,No,4,4,2,3,2,0,2,1,3
28,26-35,No,0,Sales,Medical,Male,Sales Executive,2,3,Married,4221,1,No,3,5,4,5,4,0,4,2,4
58,56-65,No,0,Sales,Medical,Male,Sales Executive,4,3,Single,13872,0,No,3,38,2,37,10,1,8,4,10
44,36-45,No,0,Research & Development,Medical,Male,Laboratory Technician,2,2,Married,2042,4,No,3,17,4,3,2,1,2,2,23
37,36-45,Yes,1,Human Resources,Human Resources,Male,Human Resources,1,1,Divorced,2073,4,Yes,4,7,3,3,2,0,2,3,6
32,26-35,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,1,Single,2956,1,No,3,1,3,1,0,0,0,4,1
20,18-25,Yes,1,Research & Development,Life Sciences,Female,Laboratory Technician,1,4,Single,2926,1,Yes,3,1,3,1,0,1,0,4,6
34,26-35,No,0,Research & Development,Other,Female,Research Scientist,2,3,Single,4809,1,No,3,16,3,16,13,2,10,1,6
37,36-45,No,0,Research & Development,Life Sciences,Male,Healthcare Representative,2,4,Divorced,5163,5,No,3,17,4,1,0,0,0,3,2
59,56-65,No,0,Human Resources,Human Resources,Female,Manager,5,4,Married,18844,9,No,4,30,3,3,2,2,2,3,2
50,46-55,No,0,Research & Development,Life Sciences,Female,Research Director,5,2,Married,18172,3,Yes,3,28,2,8,3,0,7,1,1
25,18-25,Yes,1,Sales,Marketing,Male,Sales Executive,2,3,Single,5744,1,Yes,3,6,3,6,4,0,3,3,5
25,18-25,No,0,Research & Development,Medical,Male,Research Scientist,1,4,Married,2889,1,No,3,2,3,2,2,2,1,4,7
22,18-25,No,0,Research & Development,Medical,Female,Laboratory Technician,1,4,Single,2871,1,No,3,1,3,0,0,0,0,2,15
51,46-55,No,0,Research & Development,Medical,Female,Healthcare Representative,3,1,Single,7484,3,No,4,23,2,13,12,12,8,1,1
34,26-35,Yes,1,Research & Development,Life Sciences,Male,Laboratory Technician,2,3,Single,6074,1,Yes,4,9,3,9,7,0,6,1,7
54,46-55,No,0,Human Resources,Human Resources,Female,Manager,4,4,Single,17328,2,Yes,3,23,3,5,3,4,4,4,26
24,18-25,No,0,Research & Development,Life Sciences,Male,Laboratory Technician,1,3,Married,2774,0,No,3,6,3,5,3,1,2,2,18
34,26-35,No,0,Research & Development,Life Sciences,Female,Research Scientist,2,2,Divorced,4505,6,No,3,12,3,1,0,0,0,3,6
37,36-45,No,0,Sales,Life Sciences,Male,Sales Executive,3,4,Single,7428,2,No,3,12,3,5,3,1,3,3,3
34,26-35,No,0,Research & Development,Medical,Female,Manager,3,1,Single,11631,2,No,3,14,3,11,10,5,8,3,5
36,36-45,No,0,Sales,Technical Degree,Female,Sales Executive,3,4,Married,9738,0,No,3,10,3,9,7,2,8,2,11
36,36-45,No,0,Research & Development,Life Sciences,Female,Laboratory Technician,1,4,Divorced,2835,5,No,4,7,3,1,0,0,0,1,3
43,36-45,No,0,Sales,Life Sciences,Male,Manager,4,4,Married,16959,1,Yes,3,25,4,25,12,4,12,3,26
30,26-35,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,3,Divorced,2613,1,No,4,10,2,10,7,0,9,1,23
33,26-35,No,0,Sales,Marketing,Male,Sales Executive,2,2,Married,6146,0,No,3,8,4,7,7,0,7,3,22
56,56-65,Yes,1,Research & Development,Life Sciences,Female,Research Scientist,1,2,Married,4963,9,Yes,3,7,3,5,4,4,3,2,14
51,46-55,No,0,Research & Development,Life Sciences,Male,Research Director,5,3,Single,19537,7,No,3,23,3,20,18,15,15,1,6
31,26-35,Yes,1,Sales,Life Sciences,Male,Sales Executive,2,3,Married,6172,4,Yes,3,12,2,7,7,7,7,2,6
26,26-35,No,0,Research & Development,Other,Female,Research Scientist,1,2,Married,2368,1,No,3,5,2,5,4,4,3,3,6
58,56-65,Yes,1,Research & Development,Medical,Female,Healthcare Representative,3,4,Married,10312,1,No,3,40,2,40,10,15,6,4,23
19,18-25,Yes,1,Sales,Marketing,Male,Sales Representative,1,3,Single,1675,1,Yes,3,0,2,0,0,0,0,4,22
22,18-25,No,0,Research & Development,Technical Degree,Male,Laboratory Technician,1,4,Married,2523,0,No,3,3,3,2,1,2,1,3,2
49,46-55,No,0,Research & Development,Medical,Female,Manufacturing Director,2,1,Married,6567,1,No,3,16,2,15,11,5,11,3,20
43,36-45,No,0,Research & Development,Medical,Female,Research Scientist,1,3,Single,4739,4,No,3,18,3,3,2,1,2,2,28
50,46-55,No,0,Sales,Marketing,Female,Sales Executive,3,4,Single,9208,4,No,3,16,3,2,2,2,1,3,12
31,26-35,Yes,1,Sales,Life Sciences,Female,Sales Executive,2,3,Married,4559,3,Yes,3,4,3,2,2,2,2,2,20
41,36-45,No,0,Sales,Life Sciences,Male,Sales Executive,3,3,Divorced,8189,3,Yes,3,12,3,9,7,0,7,3,9
26,26-35,No,0,Human Resources,Life Sciences,Female,Human Resources,1,3,Married,2942,1,No,4,8,3,8,7,5,7,3,25
36,36-45,No,0,Research & Development,Medical,Male,Manufacturing Director,2,2,Divorced,4941,6,No,4,7,3,3,2,0,1,2,6
51,46-55,Yes,1,Research & Development,Life Sciences,Male,Manufacturing Director,3,4,Single,10650,2,No,3,18,3,4,2,0,3,1,8
39,36-45,No,0,Sales,Life Sciences,Female,Sales Executive,2,3,Married,5902,4,No,3,17,4,15,11,5,9,4,4
25,18-25,No,0,Sales,Life Sciences,Male,Sales Executive,2,3,Married,8639,2,No,3,6,3,2,2,2,2,1,28
30,26-35,No,0,Human Resources,Human Resources,Male,Human Resources,2,4,Married,6347,0,Yes,3,12,1,11,9,4,7,3,9
32,26-35,Yes,1,Research & Development,Medical,Female,Laboratory Technician,1,1,Single,4200,7,No,4,10,4,5,4,0,4,1,9
45,36-45,No,0,Research & Development,Medical,Male,Research Scientist,1,4,Single,3452,5,No,3,9,2,6,5,0,3,3,29
38,36-45,No,0,Research & Development,Technical Degree,Female,Research Scientist,2,3,Single,4317,3,Yes,4,19,3,3,2,2,2,4,3
30,26-35,No,0,Research & Development,Life Sciences,Female,Research Scientist,1,3,Single,2632,1,No,3,5,2,5,4,0,4,1,18
32,26-35,No,0,Sales,Medical,Male,Sales Executive,2,4,Divorced,4668,0,No,3,9,4,8,7,0,7,4,9
30,26-35,No,0,Research & Development,Technical Degree,Female,Research Scientist,1,1,Divorced,3204,5,No,3,8,3,3,2,2,2,4,5
30,26-35,No,0,Research & Development,Medical,Male,Laboratory Technician,1,4,Single,2720,0,No,3,6,3,5,3,1,2,2,2
41,36-45,No,0,Research & Development,Life Sciences,Male,Manager,4,1,Divorced,17181,4,No,3,21,2,7,6,7,7,4,10
41,36-45,No,0,Research & Development,Life Sciences,Male,Laboratory Technician,1,1,Married,2238,2,No,4,7,3,5,0,1,4,3,9
19,18-25,No,0,Research & Development,Medical,Female,Laboratory Technician,1,2,Single,1483,1,No,3,1,3,1,0,0,0,2,3
40,36-45,No,0,Research & Development,Medical,Female,Research Scientist,2,2,Divorced,5605,1,No,3,20,3,20,7,2,13,2,26
35,26-35,No,0,Sales,Marketing,Male,Sales Executive,3,2,Married,7295,1,No,3,10,3,10,8,0,6,3,1
53,46-55,No,0,Sales,Marketing,Male,Sales Representative,2,3,Married,2306,2,Yes,4,13,1,7,7,4,5,2,6
45,36-45,No,0,Research & Development,Life Sciences,Male,Laboratory Technician,2,2,Divorced,2348,8,No,3,20,1,17,9,0,15,2,9
32,26-35,No,0,Sales,Marketing,Female,Sales Executive,3,4,Single,8998,1,No,3,9,3,9,8,3,7,2,8
29,26-35,No,0,Research & Development,Technical Degree,Male,Manufacturing Director,2,3,Married,4319,1,No,3,10,3,10,7,0,9,4,1
51,46-55,No,0,Research & Development,Medical,Male,Manufacturing Director,2,3,Married,6132,2,No,3,10,3,1,0,0,0,2,7
58,56-65,No,0,Research & Development,Medical,Female,Research Scientist,1,2,Married,3346,4,Yes,4,9,2,1,0,0,0,2,9
40,36-45,No,0,Sales,Marketing,Male,Sales Executive,3,4,Married,10855,7,No,3,15,2,12,11,2,11,3,4
34,26-35,No,0,Sales,Marketing,Female,Sales Representative,1,3,Married,2231,6,No,3,6,3,4,3,1,2,3,2
22,18-25,No,0,Research & Development,Medical,Male,Research Scientist,1,4,Married,2323,1,No,4,2,3,2,2,2,2,3,19
27,26-35,No,0,Research & Development,Medical,Male,Research Scientist,1,2,Divorced,2024,6,No,3,6,1,2,2,2,2,4,9
28,26-35,No,0,Research & Development,Medical,Male,Research Scientist,1,4,Married,2713,1,No,3,5,1,5,2,0,2,3,21
57,56-65,No,0,Research & Development,Life Sciences,Male,Healthcare Representative,3,4,Divorced,9439,3,Yes,3,12,1,5,3,1,4,3,24
27,26-35,No,0,Research & Development,Medical,Male,Research Scientist,1,3,Divorced,2566,1,Yes,3,1,2,1,1,0,1,3,3
50,46-55,No,0,Research & Development,Life Sciences,Female,Manager,5,2,Single,19926,3,No,3,21,3,5,4,4,4,3,11
41,36-45,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,3,Divorced,2451,4,No,3,13,3,9,8,1,8,1,14
30,26-35,No,0,Sales,Life Sciences,Female,Sales Executive,3,4,Married,9419,2,No,3,12,3,10,9,7,4,2,5
38,36-45,No,0,Sales,Life Sciences,Female,Sales Executive,2,4,Single,8686,4,No,4,12,4,8,3,0,7,1,1
32,26-35,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,3,Single,3038,3,No,4,8,3,5,4,1,4,3,6
27,26-35,No,0,Research & Development,Technical Degree,Male,Research Scientist,1,2,Married,3058,0,Yes,3,6,2,5,2,1,1,3,17
19,18-25,Yes,1,Sales,Technical Degree,Female,Sales Representative,1,1,Single,2325,0,No,4,1,4,0,0,0,0,3,1
36,36-45,No,0,Research & Development,Medical,Male,Laboratory Technician,1,2,Single,2088,4,No,3,13,2,8,7,7,2,4,3
30,26-35,No,0,Research & Development,Medical,Male,Laboratory Technician,2,1,Divorced,3072,1,No,3,12,3,12,9,6,10,3,9
45,36-45,No,0,Sales,Life Sciences,Female,Sales Executive,2,1,Divorced,5006,4,Yes,3,9,4,5,4,0,3,3,4
56,56-65,No,0,Research & Development,Life Sciences,Female,Research Scientist,1,1,Divorced,4257,4,Yes,3,19,3,2,2,2,2,3,8
33,26-35,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,4,Single,2500,0,No,3,4,4,3,1,0,2,3,2
19,18-25,Yes,1,Research & Development,Life Sciences,Male,Laboratory Technician,1,4,Single,1102,1,No,4,1,2,1,0,1,0,2,2
46,46-55,No,0,Sales,Marketing,Female,Sales Executive,3,1,Divorced,10453,1,No,4,24,3,24,13,15,7,2,1
38,36-45,No,0,Research & Development,Life Sciences,Female,Laboratory Technician,1,4,Single,2288,1,No,3,2,3,2,2,2,1,3,9
31,26-35,No,0,Research & Development,Medical,Female,Research Scientist,1,4,Married,3929,8,Yes,4,7,3,4,2,0,2,3,12
34,26-35,No,0,Research & Development,Medical,Female,Research Scientist,1,2,Single,2311,2,No,3,9,3,3,2,1,2,4,27
41,36-45,Yes,1,Sales,Marketing,Female,Sales Representative,1,2,Single,3140,1,Yes,4,4,2,4,3,0,2,2,20
50,46-55,No,0,Research & Development,Medical,Male,Laboratory Technician,1,3,Married,3690,2,No,3,5,2,3,2,0,2,3,1
53,46-55,No,0,Research & Development,Medical,Female,Manufacturing Director,2,1,Divorced,4450,1,No,3,5,3,4,2,1,3,4,13
33,26-35,No,0,Research & Development,Medical,Female,Research Scientist,1,2,Married,2756,1,No,3,8,3,8,7,1,6,4,14
40,36-45,No,0,Research & Development,Medical,Female,Manager,5,3,Married,19033,1,No,3,21,3,20,8,9,9,4,4
55,46-55,No,0,Research & Development,Medical,Male,Research Director,5,2,Single,18722,8,No,3,36,3,24,15,2,15,3,14
34,26-35,No,0,Research & Development,Life Sciences,Male,Manufacturing Director,2,3,Married,9547,1,No,3,10,2,10,9,1,9,4,2
51,46-55,No,0,Research & Development,Medical,Female,Healthcare Representative,4,2,Single,13734,3,No,3,21,3,7,7,1,0,4,3
52,46-55,No,0,Research & Development,Life Sciences,Male,Manager,5,3,Married,19999,0,No,3,34,3,33,18,11,9,3,1
27,26-35,No,0,Research & Development,Medical,Female,Research Scientist,1,2,Single,2279,1,No,3,7,2,7,7,0,3,4,9
35,26-35,Yes,1,Research & Development,Life Sciences,Male,Manufacturing Director,2,3,Married,5916,3,Yes,3,8,3,1,0,0,1,2,23
43,36-45,No,0,Research & Development,Medical,Male,Research Scientist,1,4,Divorced,2089,4,No,3,7,4,5,4,2,2,4,7
45,36-45,No,0,Research & Development,Medical,Male,Manager,4,4,Married,16792,9,No,4,22,3,20,8,11,8,1,2
37,36-45,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,1,Married,3564,1,Yes,3,8,2,8,7,1,7,2,21
35,26-35,No,0,Research & Development,Medical,Female,Laboratory Technician,2,2,Single,4425,5,No,3,10,3,6,2,1,2,2,2
42,36-45,No,0,Research & Development,Medical,Female,Manufacturing Director,2,3,Divorced,5265,2,No,3,11,3,5,3,0,2,3,21
38,36-45,No,0,Research & Development,Life Sciences,Male,Manufacturing Director,2,3,Married,6553,9,No,3,14,3,1,0,0,0,4,2
38,36-45,No,0,Research & Development,Technical Degree,Male,Manufacturing Director,2,4,Married,6261,3,No,3,9,1,7,7,1,7,4,29
27,26-35,No,0,Research & Development,Technical Degree,Male,Manufacturing Director,2,1,Married,4298,5,No,3,6,3,2,2,2,0,3,1
49,46-55,No,0,Research & Development,Life Sciences,Male,Manufacturing Director,2,4,Divorced,6804,1,Yes,3,7,3,7,7,1,7,4,18
34,26-35,No,0,Research & Development,Medical,Male,Research Scientist,1,3,Divorced,3815,1,Yes,3,5,4,5,3,2,0,4,10
40,36-45,No,0,Research & Development,Medical,Male,Laboratory Technician,2,4,Married,2741,8,Yes,3,15,4,7,2,3,7,3,19
38,36-45,Yes,1,Research & Development,Medical,Male,Healthcare Representative,2,1,Married,6673,7,Yes,3,17,3,1,0,0,0,2,29
29,26-35,Yes,1,Sales,Marketing,Female,Sales Executive,3,4,Married,7639,1,No,4,10,2,10,4,1,9,2,27
22,18-25,No,0,Research & Development,Life Sciences,Male,Research Scientist,1,2,Divorced,2328,1,Yes,3,4,2,4,2,2,2,4,5
36,36-45,No,0,Research & Development,Medical,Female,Laboratory Technician,1,4,Single,2153,1,No,3,8,3,8,1,1,7,2,18
40,36-45,No,0,Research & Development,Life Sciences,Male,Healthcare Representative,2,4,Married,4876,9,No,3,5,1,3,2,0,2,4,9
46,46-55,No,0,Research & Development,Medical,Male,Healthcare Representative,3,1,Divorced,9396,7,No,3,17,3,4,2,0,3,4,1
